DateTime,Temperature,Dew Point,Relative Humidity,datetime,T_out_C,T_in_C,mode,Q_hvac_W,E_heat_kWh,E_heat_kWh_cum,E_heat_th_kWh,E_heat_elec_kWh_COP1p0,CO2_kg_COP1p0,E_heat_elec_kWh_COP1p0_cum,CO2_kg_COP1p0_cum,E_heat_elec_kWh_COP3p0,CO2_kg_COP3p0,E_heat_elec_kWh_COP3p0_cum,CO2_kg_COP3p0_cum
2026-01-21 16:15:00,52,38.84,61,2026-01-21 16:15:00,11.11111111111111,21.11111111111111,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21 16:30:00,48,38.21,69,2026-01-21 16:30:00,8.88888888888889,21.09611111111111,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21 16:46:00,44,37.17,77,2026-01-21 16:46:00,6.666666666666667,21.064556944444444,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21 17:00:00,41,35.24,80,2026-01-21 17:00:00,5.0,21.01657276736111,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21 17:15:00,40,35.49,84,2026-01-21 17:15:00,4.444444444444445,20.956448471605903,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21 17:30:00,39,35.11,86,2026-01-21 17:30:00,3.888888888888889,20.892608441402192,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21 17:46:00,38,34.43,87,2026-01-21 17:46:00,3.3333333333333335,20.825080544758343,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21 18:00:00,37,33.73,88,2026-01-21 18:00:00,2.7777777777777777,20.753892440672654,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21 18:15:00,36,32.74,88,2026-01-21 18:15:00,2.2222222222222223,20.679071580700946,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21 18:31:00,36,33.03,89,2026-01-21 18:31:00,2.2222222222222223,20.60064521051235,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21 18:45:00,35,32.05,89,2026-01-21 18:45:00,1.6666666666666667,20.522807038100176,HEAT,12000.0,1.0,1.0,3.0,3.0,0.8999999999999999,3.0,0.8999999999999999,1.0,0.3,1.0,0.3
2026-01-21 19:01:00,35,32.05,89,2026-01-21 19:01:00,1.6666666666666667,20.801385985314425,OFF,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.8999999999999999,0.0,0.0,1.0,0.3
2026-01-21 19:15:00,34,31.06,89,2026-01-21 19:15:00,1.1111111111111112,20.71787559042457,OFF,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.8999999999999999,0.0,0.0,1.0,0.3
2026-01-21 19:30:00,34,31.06,89,2026-01-21 19:30:00,1.1111111111111112,20.630824856829715,OFF,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.8999999999999999,0.0,0.0,1.0,0.3
2026-01-21 19:45:00,33,30.07,89,2026-01-21 19:45:00,0.5555555555555556,20.544427003736825,HEAT,12000.0,1.0,2.0,3.0,3.0,0.8999999999999999,6.0,1.7999999999999998,1.0,0.3,2.0,0.6
2026-01-21 20:01:00,33,30.07,89,2026-01-21 20:01:00,0.5555555555555556,20.814510467875465,OFF,0.0,0.0,2.0,0.0,0.0,0.0,6.0,1.7999999999999998,0.0,0.0,2.0,0.6
2026-01-21 20:15:00,33,30.07,89,2026-01-21 20:15:00,0.5555555555555556,20.722568306033065,OFF,0.0,0.0,2.0,0.0,0.0,0.0,6.0,1.7999999999999998,0.0,0.0,2.0,0.6
2026-01-21 20:30:00,33,29.79,88,2026-01-21 20:30:00,0.5555555555555556,20.631315710404483,OFF,0.0,0.0,2.0,0.0,0.0,0.0,6.0,1.7999999999999998,0.0,0.0,2.0,0.6
2026-01-21 20:45:00,32,28.8,88,2026-01-21 20:45:00,0.0,20.540747509243115,HEAT,12000.0,1.0,3.0,3.0,3.0,0.8999999999999999,9.0,2.6999999999999997,1.0,0.3,3.0,0.8999999999999999
2026-01-21 21:01:00,32,28.8,88,2026-01-21 21:01:00,0.0,20.80669190292379,OFF,0.0,0.0,3.0,0.0,0.0,0.0,9.0,2.6999999999999997,0.0,0.0,3.0,0.8999999999999999
2026-01-21 21:15:00,32,28.8,88,2026-01-21 21:15:00,0.0,20.710641713651864,OFF,0.0,0.0,3.0,0.0,0.0,0.0,9.0,2.6999999999999997,0.0,0.0,3.0,0.8999999999999999
2026-01-21 21:30:00,31,27.82,88,2026-01-21 21:30:00,-0.5555555555555556,20.615311900799476,OFF,0.0,0.0,3.0,0.0,0.0,0.0,9.0,2.6999999999999997,0.0,0.0,3.0,0.8999999999999999
2026-01-21 21:45:00,31,27.82,88,2026-01-21 21:45:00,-0.5555555555555556,20.516530394876813,HEAT,12000.0,1.0,4.0,3.0,3.0,0.8999999999999999,12.0,3.5999999999999996,1.0,0.3,4.0,1.2
2026-01-21 22:00:00,31,27.82,88,2026-01-21 22:00:00,-0.5555555555555556,20.77848975024857,OFF,0.0,0.0,4.0,0.0,0.0,0.0,12.0,3.5999999999999996,0.0,0.0,4.0,1.2
2026-01-21 22:15:00,31,27.25,86,2026-01-21 22:15:00,-0.5555555555555556,20.67848441045504,OFF,0.0,0.0,4.0,0.0,0.0,0.0,12.0,3.5999999999999996,0.0,0.0,4.0,1.2
2026-01-21 22:31:00,31,27.54,87,2026-01-21 22:31:00,-0.5555555555555556,20.579229110709964,OFF,0.0,0.0,4.0,0.0,0.0,0.0,12.0,3.5999999999999996,0.0,0.0,4.0,1.2
